input_length,exact_match,char_edit_dist,token_edit_dist,accept_rate_1
191,1,0,1209,0.1322
191,0,3,1209,0.1344
192,1,0,1208,0.1365
192,1,0,1208,0.1365
192,1,0,1208,0.1351
192,0,1331,1212,0.9714
192,0,21,1208,0.1394
192,0,42,1208,0.1437
192,1,0,1208,0.1351
192,0,10,1208,0.1372
192,0,4,1212,0.1351
192,1,0,1208,0.1365
192,0,42,1208,0.1437
192,0,10,1208,0.1372
192,0,10,1208,0.1372
192,1,0,1208,0.1365
193,1,0,1207,0.1365
193,0,2,1209,0.133
193,1,0,1207,0.1358
193,0,1283,1207,0.9893
193,1,0,1207,0.1351
193,1,0,1207,0.1351
194,0,2,1208,0.1365
194,1,0,1206,0.1365
194,0,1338,1210,0.9071
194,1,0,1206,0.138
194,0,21,1206,0.1415
194,1,0,1206,0.1372
194,1,0,1206,0.138
194,0,10,1206,0.1387
194,1,0,1206,0.1344
194,1,0,1206,0.138
194,0,5,1214,0.1308
194,1,0,1206,0.138
194,0,1329,1210,0.985
194,0,10,1206,0.1387
194,0,1320,1206,0.8799
195,0,131,1274,0.0979
195,1,0,1205,0.138
195,1,0,1205,0.1372
195,1,0,1205,0.138
195,0,1206,1205,0.9907
195,1,0,1205,0.1372
195,0,8,1213,0.1337
196,0,2,1206,0.1358
196,0,42,1204,0.1458
196,1,0,1204,0.138
196,0,10,1204,0.1401
196,0,10,1204,0.1401
196,0,1264,1204,0.9035
196,1,0,1204,0.138
196,0,21,1204,0.143
196,1,0,1204,0.1387
196,0,42,1204,0.1458
196,0,4,1208,0.1365
196,0,2,1204,0.138
196,1,0,1204,0.1387
196,1,0,1204,0.1394
196,0,42,1204,0.1458
196,0,10,1204,0.1401
196,1,0,1204,0.138
196,1,0,1204,0.1394
196,1,0,1204,0.1394
196,1,0,1204,0.1394
196,1,0,1204,0.138
197,0,1403,1203,0.9185
197,0,1205,1203,0.9878
197,0,1340,1203,0.8613
197,0,1286,1203,0.9142
197,0,4,1207,0.1372
197,0,1337,1203,0.9014
197,1,0,1203,0.1401
197,1,0,1203,0.1401
197,1,0,1203,0.1387
198,1,0,1202,0.1408
198,1,0,1202,0.1408
198,0,42,1202,0.1472
198,0,21,1202,0.1444
198,0,10,1202,0.1408
198,0,12,1204,0.1401
198,1,0,1202,0.1408
198,1,0,1202,0.1408
198,0,21,1202,0.1444
198,0,10,1202,0.1415
198,1,0,1202,0.1401
198,0,5052,1202,0.862
198,1,0,1202,0.1408
198,0,10,1202,0.1415
198,0,10,1202,0.1415
198,0,21,1202,0.1444
198,0,21,1202,0.1437
198,0,10,1202,0.1415
198,1,0,1202,0.1408
