input_length,exact_match,char_edit_dist,token_edit_dist,accept_rate_1,accept_rate_2,accept_rate_3,accept_rate_4,accept_rate_5
188,0,4947,1212,0.8956,0.8562,0.8182,0.8052,0.9699
188,0,1329,1213,0.9821,0.8755,0.6099,0.4792,0.3964
188,0,1256,1212,0.1344,0.1402,0.1346,0.1325,0.1305
188,0,1306,1212,0.9014,0.8069,0.6958,0.5487,0.4007
188,0,4788,1212,0.8735,0.8741,0.8246,0.8424,0.828
189,0,1275,1211,0.8799,0.8047,0.7538,0.6977,0.5692
189,0,1239,1233,0.6269,0.3512,0.3629,0.3066,0.3369
189,0,1318,1211,0.7534,0.6123,0.5218,0.4327,0.3642
189,0,1287,1211,0.7813,0.5494,0.4195,0.3961,0.2229
189,0,1250,1211,0.8599,0.7754,0.6836,0.553,0.4559
189,0,1277,1211,0.8835,0.8484,0.7623,0.7034,0.4667
189,0,1366,1249,0.8692,0.5644,0.5075,0.4606,0.253
189,0,1275,1211,0.8785,0.7303,0.5254,0.4162,0.1778
190,0,1294,1210,0.9192,0.8391,0.6986,0.6676,0.6014
190,0,4147,1210,0.9199,0.8805,0.8003,0.8223,0.7656
190,0,4551,1210,0.9342,0.8619,0.7888,0.7901,0.8444
190,0,1253,1210,0.1408,0.1402,0.1353,0.1354,0.1312
190,0,3686,1210,0.807,0.8569,0.7237,0.687,0.6918
190,0,4586,1210,0.8964,0.8934,0.8225,0.8388,0.8143
190,0,1217,1217,0.4803,0.2654,0.3006,0.1777,0.1226
190,0,5082,1210,0.7941,0.8276,0.748,0.8037,0.9885
190,0,4360,1210,0.8899,0.8734,0.8246,0.8352,0.8043
191,0,1285,1209,0.8342,0.7825,0.7208,0.6827,0.5211
191,0,1276,1209,0.9085,0.7876,0.5891,0.5781,0.2093
191,0,1256,1210,0.8256,0.7303,0.6192,0.563,0.448
191,0,1287,1209,0.8049,0.7511,0.6972,0.6461,0.5491
191,0,1311,1209,0.8263,0.6617,0.5104,0.3983,0.2487
191,0,1331,1209,0.8449,0.7074,0.5963,0.4735,0.3563
192,0,4573,1208,0.8728,0.8548,0.7838,0.8102,0.7814
192,0,3175,1208,0.7455,0.8741,0.6872,0.51,0.4989
192,0,1265,1209,0.8442,0.7933,0.7258,0.6655,0.5369
192,0,1284,1211,0.8964,0.7918,0.6965,0.6132,0.5247
192,0,3161,1208,0.7949,0.9134,0.6886,0.6275,0.714
192,0,4374,1208,0.9185,0.892,0.8196,0.8266,0.7649
192,0,1283,1208,0.8785,0.6624,0.3901,0.4391,0.147
192,0,1251,1208,0.1408,0.1402,0.1367,0.139,0.1355
192,0,1220,1220,0.213,0.1674,0.3715,0.3295,0.1125
192,0,4766,1208,0.8899,0.8913,0.8253,0.8302,0.838
192,0,3684,1208,0.9307,0.8548,0.7158,0.7808,0.6982
192,0,4600,1208,0.8549,0.8784,0.8261,0.8223,0.8086
192,0,4758,1208,0.852,0.8526,0.8189,0.8331,0.8301
192,0,4654,1208,0.8956,0.8705,0.8311,0.8274,0.7907
193,0,1209,1207,0.6512,0.1688,0.146,0.2586,0.1656
193,0,1225,1207,0.8256,0.731,0.5834,0.4556,0.3161
193,0,1310,1209,0.8227,0.4785,0.418,0.3152,0.2552
193,0,1269,1207,0.9056,0.8398,0.8232,0.7378,0.6358
193,0,1293,1207,0.8356,0.7933,0.7215,0.6619,0.5541
193,0,1271,1207,0.8842,0.8233,0.7001,0.6447,0.5054
